glyph name;code points
.notdef;
A;U+0041
B;U+0042
C;U+0043
D;U+0044
E;U+0045
F;U+0046
G;U+0047
H;U+0048
I;U+0049
J;U+004A
K;U+004B
L;U+004C
M;U+004D
N;U+004E
O;U+004F
OE;U+0152
P;U+0050
Q;U+0051
R;U+0052
S;U+0053
T;U+0054
U;U+0055
V;U+0056
W;U+0057
X;U+0058
Y;U+0059
Z;U+005A
a;U+0061
b;U+0062
c;U+0063
comma;U+002C
d;U+0064
e;U+0065
eight;U+0038
exclam;U+0021
f;U+0066
five;U+0035
four;U+0034
g;U+0067
h;U+0068
hyphen;U+002D
i;U+0069
j;U+006A
k;U+006B
l;U+006C
m;U+006D
n;U+006E
nine;U+0039
o;U+006F
oe;U+0153
one;U+0031
p;U+0070
period;U+002E
q;U+0071
question;U+003F
quotesingle;U+0027
r;U+0072
s;U+0073
seven;U+0037
six;U+0036
space;U+0020
t;U+0074
three;U+0033
two;U+0032
u;U+0075
v;U+0076
w;U+0077
x;U+0078
y;U+0079
z;U+007A
zero;U+0030
